season,meeting_key,meeting_name,meeting_date_start,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,11,81.956,24.475,32.878,24.603,,253,306.0,False,2023-06-04 13:17:27.766000+00:00,31.8,22.0,2,HARD,2,22,0,9.0,202.6273291925466,307.0,93.0,59.36604210302881,10625.093167701863,12166.0,7260.0,939.3049220894109,62.13975155279503,100.0,0.0,41.31723623230579,0.4440993788819876,0.19875776397515527,9,9,0.0,40,45845.36283050013,45845.36283050013,1.802906386839816,322,309,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,12,81.641,24.327,32.747,24.567,261.0,266,307.0,False,2023-06-04 13:18:27.765000+00:00,31.5,22.0,2,HARD,2,22,0,10.0,204.38019169329073,308.0,91.0,59.94123206042499,10528.210862619808,12361.0,6482.0,1123.1458530814882,62.56869009584665,100.0,0.0,41.2070581271972,0.4504792332268371,0.19169329073482427,6,6,0.0,35,45847.44417985109,45847.44417985109,1.7960093063626477,313,306,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,13,81.744,24.394,32.797,24.553,,259,304.0,False,2023-06-04 13:20:27.763000+00:00,31.7,22.1,2,HARD,2,22,0,11.0,205.1045751633987,306.0,88.0,60.17742431650372,10575.588235294117,11981.0,7199.0,988.751424509434,62.76470588235294,100.0,0.0,41.127216106272705,0.4542483660130719,0.17973856209150327,7,7,0.0,38,45823.74912596442,45823.74912596442,1.7812146314246795,306,318,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,14,81.093,24.152,32.555,24.386,263.0,264,305.0,False,2023-06-04 13:21:27.762000+00:00,31.7,22.0,2,HARD,2,22,0,12.0,204.7879746835443,307.0,93.0,59.3675206962495,10531.167721518987,12262.0,6626.0,1084.691681840652,64.08227848101266,100.0,0.0,40.463918165317814,0.45569620253164556,0.18354430379746836,6,6,0.0,38,45984.703446234,45984.703446234,1.7851177589781353,316,319,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,15,81.359,24.196,32.612,24.551,260.0,259,,False,2023-06-04 13:22:27.776000+00:00,31.9,22.1,2,HARD,2,22,0,13.0,205.13,306.0,93.0,59.36951883472416,10511.05,11962.0,6715.0,1083.7049909915522,63.43333333333333,100.0,0.0,41.37421365483041,0.44666666666666666,0.19666666666666666,8,8,0.0,39,45966.1139885574,45966.1139885574,1.7898786252684138,300,310,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,16,81.782,24.351,32.846,24.585,258.0,260,304.0,False,2023-06-04 13:24:27.774000+00:00,31.2,22.1,2,HARD,2,22,0,14.0,202.4951768488746,305.0,90.0,60.257159059275025,10493.041800643086,12356.0,6389.0,1155.2315123503618,62.356913183279744,100.0,0.0,41.3978183651165,0.4340836012861736,0.19935691318327975,7,7,0.0,37,45952.87894598683,45952.87894598683,1.8051034027911868,311,314,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,17,82.536,24.516,33.204,24.816,252.0,255,303.0,False,2023-06-04 13:25:27.773000+00:00,31.3,22.1,2,HARD,2,22,0,15.0,201.5,305.0,88.0,60.19014783254728,10439.665584415585,12219.0,6323.0,1177.8981591084826,60.80844155844156,100.0,0.0,41.64926598766802,0.4318181818181818,0.21103896103896103,6,6,0.0,40,45796.35734509547,45796.35734509547,1.7965529301347845,308,314,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,18,81.694,24.367,32.737,24.59,263.0,262,305.0,False,2023-06-04 13:27:27.771000+00:00,30.9,22.1,2,HARD,2,22,0,16.0,205.86495176848874,307.0,88.0,60.33924266764598,10500.945337620578,12048.0,6325.0,1110.537070716895,64.03215434083602,100.0,0.0,40.9053365042118,0.4565916398713826,0.19935691318327975,6,6,0.0,37,45976.777408094196,45976.777408094196,1.796959800209806,311,312,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,19,81.746,24.447,32.732,24.567,265.0,263,304.0,False,2023-06-04 13:28:27.770000+00:00,31.2,22.1,2,HARD,2,22,0,17.0,206.6551724137931,306.0,90.0,60.193784996816746,10443.131661442007,12283.0,6541.0,1099.000589692694,65.5078369905956,100.0,0.0,40.39878526400619,0.46394984326018807,0.18181818181818182,6,6,0.0,35,45721.965059022215,45721.965059022215,1.7874019054157357,319,315,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,20,81.428,24.177,32.728,24.523,264.0,262,,False,2023-06-04 13:29:27.784000+00:00,31.5,22.0,2,HARD,2,22,0,18.0,204.2747603833866,306.0,91.0,60.49223990067957,10501.08626198083,12333.0,6534.0,1147.7643676631026,63.06070287539936,100.0,0.0,41.1004320711945,0.44089456869009586,0.19808306709265175,8,8,0.0,37,45993.62140886222,45993.62140886222,1.7864016434438021,313,321,True,True
