season,meeting_key,meeting_name,meeting_date_start,meeting_day,meeting_month,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,circuit_speed_class,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,1,84.934,25.957,37.212,21.765,187.0,181,269,False,2025-05-25 13:03:19.132000+00:00,45.2,22.0,medium,1,MEDIUM,1,21,0,0.0,138.8006230529595,272.0,0.0,63.879394731500824,9199.520249221183,12222.0,4465.0,1891.6689100279395,47.570093457943926,100.0,0.0,40.92035699382605,0.27102803738317754,0.2897196261682243,16,16,1.0,49,33029.89713835949,33029.89713835949,1.8045101385324562,321,314,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,2,104.769,34.191,44.995,25.583,111.0,174,236,False,2025-05-25 13:04:19.138000+00:00,43.9,22.0,medium,1,MEDIUM,1,21,0,1.0,112.52127659574468,262.0,36.0,59.995297461711445,7988.734042553191,12249.0,3692.0,2248.453315558355,30.48404255319149,100.0,0.0,37.16151865524533,0.15159574468085107,0.32978723404255317,15,15,1.0,41,32587.800435400946,32587.800435400946,1.7317711974026195,376,397,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,3,108.805,31.019,49.594,28.192,156.0,152,238,False,2025-05-25 13:06:19.139000+00:00,42.7,21.7,medium,1,MEDIUM,1,21,0,2.0,110.52618453865337,246.0,33.0,55.277986560297755,8104.600997506234,11971.0,3374.0,2219.3468103784858,32.65336658354115,100.0,0.0,36.69768717885485,0.14713216957605985,0.314214463840399,17,17,1.0,38,32660.411696977735,32660.411696977735,1.7785037447604042,401,415,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,4,101.248,31.076,48.358,21.814,148.0,99,239,False,2025-05-25 13:08:19.203000+00:00,43.2,21.9,medium,1,MEDIUM,1,21,0,3.0,116.73936170212765,269.0,34.0,57.828305515046104,8319.686170212766,12257.0,3503.0,2242.2051070177317,36.9813829787234,100.0,0.0,38.62837362808846,0.19148936170212766,0.31648936170212766,16,16,0.9095744680851063,45,32786.82478671735,32786.82478671735,1.768128762542598,376,395,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,5,78.801,20.597,37.317,20.887,196.0,186,273,False,2025-05-25 13:09:19.215000+00:00,42.7,22.0,medium,1,MEDIUM,1,21,0,4.0,146.58389261744966,277.0,42.0,65.98994235662038,9136.013422818793,11895.0,4420.0,1927.693053856589,45.90268456375839,100.0,0.0,41.78862509611904,0.2751677852348993,0.31208053691275167,15,15,0.010067114093959731,40,32658.639019041293,32658.639019041293,1.785997101222276,298,293,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,6,79.267,20.621,37.804,20.842,195.0,184,271,False,2025-05-25 13:11:19.251000+00:00,42.0,21.9,medium,1,MEDIUM,1,21,0,5.0,150.3953488372093,275.0,41.0,64.03004780223152,9259.32558139535,11805.0,4506.0,1820.9080682450933,47.06976744186046,100.0,0.0,42.25785169070978,0.28903654485049834,0.3023255813953488,13,13,0.0,43,32669.67256544721,32669.67256544721,1.7836828274034264,301,306,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,7,78.656,20.633,37.281,20.742,197.0,185,273,False,2025-05-25 13:12:19.282000+00:00,42.2,21.9,medium,1,MEDIUM,1,21,0,6.0,149.06271777003485,276.0,41.0,65.24814256584756,9213.850174216028,12109.0,4456.0,1861.3689490028075,47.853658536585364,100.0,0.0,42.06415598015045,0.2926829268292683,0.2857142857142857,13,13,0.0,45,32410.328361037373,32410.328361037373,1.824954275040467,287,303,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,8,77.99,20.357,36.978,20.655,196.0,189,273,False,2025-05-25 13:13:19.267000+00:00,43.1,22.0,medium,1,MEDIUM,1,21,0,7.0,149.3108108108108,276.0,43.0,65.64872236373861,9215.18918918919,11965.0,4305.0,1843.8465388426569,47.814189189189186,100.0,0.0,41.66374324721211,0.28716216216216217,0.30405405405405406,12,12,0.0,46,32665.90994129246,32665.90994129246,1.8076450041957692,296,305,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,9,81.212,20.351,39.971,20.89,197.0,179,271,False,2025-05-25 13:15:19.283000+00:00,44.2,22.3,medium,1,MEDIUM,1,21,0,8.0,144.53618421052633,273.0,42.0,64.55010298958528,9086.993421052632,11997.0,4101.0,2009.4125188744465,44.95723684210526,100.0,0.0,41.513490359624576,0.27631578947368424,0.3157894736842105,15,15,0.0,40,32577.073071054172,32577.073071054172,1.839880968858924,304,302,True,True
2025,1261,Monaco Grand Prix,2025-05-23T11:30:00+00:00,23,5,9979,Race,16,Charles LECLERC,Ferrari,10,79.912,20.059,38.874,20.979,203.0,188,264,False,2025-05-25 13:16:19.305000+00:00,44.6,22.4,medium,1,MEDIUM,1,21,0,9.0,147.03819444444446,273.0,42.0,64.0583116479385,9215.225694444445,12003.0,3910.0,1897.2670552463428,46.048611111111114,100.0,0.0,41.81861126425634,0.2638888888888889,0.3541666666666667,13,13,0.10416666666666667,43,32904.20955415194,32904.20955415194,1.7961698334777287,288,302,True,True
