season,meeting_key,meeting_name,meeting_date_start,meeting_day,meeting_month,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,circuit_speed_class,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,1,105.213,37.343,43.576,24.294,220.0,243,269.0,False,2024-03-02 15:03:56.545000+00:00,23.8,18.2,medium,1,SOFT,1,9,0,0.0,180.91206030150755,298.0,0.0,69.26237208042632,9811.643216080402,11850.0,4848.0,1516.5359175727258,60.92713567839196,100.0,0.0,42.6982190128703,0.457286432160804,0.2135678391959799,8,8,0.9974874371859297,62,52518.037771813135,52518.037771813135,1.7359370333418918,398,402,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,2,98.92,31.452,43.135,24.333,230.0,249,302.0,False,2024-03-02 15:05:56.551000+00:00,23.8,18.3,medium,1,SOFT,1,9,0,1.0,195.29787234042553,309.0,60.0,69.37166013233082,9810.143617021276,11898.0,5335.0,1484.4537628552134,60.901595744680854,100.0,0.0,43.789673775543164,0.46808510638297873,0.23404255319148937,9,9,0.2393617021276596,61,53147.09311509122,53147.09311509122,1.7503740695578494,376,395,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,3,98.582,31.044,43.084,24.454,224.0,246,322.0,False,2024-03-02 15:06:56.557000+00:00,23.8,18.3,medium,1,SOFT,1,9,0,2.0,194.69146005509643,331.0,60.0,72.2097389615732,9866.515151515152,11907.0,5332.0,1649.4735153586446,61.98347107438016,100.0,0.0,43.11870669779516,0.47107438016528924,0.22589531680440772,9,9,0.29476584022038566,52,53013.09940173733,53013.09940173733,1.7193916057441985,363,385,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,4,98.428,30.977,43.004,24.447,225.0,249,318.0,False,2024-03-02 15:08:56.557000+00:00,23.7,18.3,medium,1,SOFT,1,9,0,3.0,196.9758064516129,330.0,61.0,70.51360698128359,9826.086021505376,12025.0,5305.0,1610.4050659605082,62.5,100.0,0.0,43.13846797644579,0.48118279569892475,0.22849462365591397,8,8,0.29301075268817206,51,52944.73562741192,52944.73562741192,1.7290498568154031,372,394,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,5,98.798,31.116,43.178,24.504,224.0,249,306.0,False,2024-03-02 15:09:56.553000+00:00,23.6,18.3,medium,1,SOFT,1,9,0,4.0,194.55851063829786,328.0,59.0,72.15085984591732,9727.800531914894,11979.0,5156.0,1777.330974726745,62.401595744680854,100.0,0.0,42.92120313207288,0.4734042553191489,0.2393617021276596,10,10,0.3191489361702128,47,53038.65688815624,53038.65688815624,1.7240328911870837,376,378,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,6,98.488,30.86,43.064,24.564,233.0,246,320.0,False,2024-03-02 15:11:56.552000+00:00,23.5,18.3,medium,1,SOFT,1,9,0,5.0,195.97727272727272,329.0,62.0,72.37712585553145,9829.71875,11796.0,5155.0,1613.6487496898792,63.09943181818182,100.0,0.0,42.27989528288492,0.46875,0.21875,10,10,0.3153409090909091,53,53016.45356505971,53016.45356505971,1.7458780324630678,352,375,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,7,99.517,31.488,43.47,24.559,,252,314.0,False,2024-03-02 15:13:56.557000+00:00,23.5,18.3,medium,1,SOFT,1,9,0,6.0,192.3962765957447,325.0,63.0,72.58553198965595,9897.356382978724,12007.0,5475.0,1566.4011386763264,61.087765957446805,100.0,0.0,43.2067057850548,0.45478723404255317,0.2526595744680851,10,10,0.2154255319148936,58,53135.249287229075,53135.249287229075,1.7438248124322544,376,389,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,8,99.646,31.786,43.138,24.722,232.0,253,,False,2024-03-02 15:14:56.565000+00:00,23.7,18.3,medium,1,SOFT,1,9,0,7.0,191.6775956284153,320.0,54.0,71.36740076173965,9929.16393442623,11931.0,4669.0,1568.0821237728576,61.90163934426229,100.0,0.0,43.460253150090224,0.4726775956284153,0.22950819672131148,9,9,0.2185792349726776,58,53235.36676268858,53235.36676268858,1.7129578937467564,366,384,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,9,101.849,31.33,43.094,27.425,234.0,253,310.0,False,2024-03-02 15:16:56.572000+00:00,23.5,18.2,medium,1,SOFT,1,9,0,8.0,187.29133858267716,322.0,59.0,72.35800941174183,9675.070866141732,12104.0,5375.0,1670.5251135744643,59.55643044619423,100.0,0.0,42.78162938668969,0.4251968503937008,0.2440944881889764,10,10,0.28346456692913385,63,53388.01556901126,53388.01556901126,1.753261423420371,381,392,True,True
2024,1229,Bahrain Grand Prix,2024-02-29T11:30:00+00:00,29,2,9472,Race,24,ZHOU Guanyu,Kick Sauber,10,119.328,53.287,42.225,23.816,233.0,241,220.0,True,2024-03-02 15:18:56.562000+00:00,23.5,18.2,medium,2,HARD,10,28,0,0.0,162.6431718061674,291.0,0.0,77.41654870147038,9492.881057268722,12118.0,3844.0,1785.1820200986408,62.10132158590309,100.0,0.0,41.44656714094461,0.43392070484581496,0.2290748898678414,9,9,0.0,56,53595.36186962057,53595.36186962057,1.7086045072984917,454,458,True,True
