season,meeting_key,meeting_name,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,1,74.774,21.056,32.359,21.359,306.0,232.0,296.0,False,1,MEDIUM,1,22,0,0.0,201.4014598540146,308.0,0.0,72.839335231679,10420.609489051094,12221.0,4491.0,1615.6960729221148,67.21897810218978,100.0,0.0,41.87140817208551,0.5474452554744526,0.1897810218978102,11,11,0.9963503649635036,45,42185.15377834813,42185.15377834813,1.9004289868856081,274,287,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,2,70.58,17.469,31.731,21.38,295.0,225.0,298.0,False,1,MEDIUM,1,22,0,1.0,216.89763779527559,300.0,62.0,63.25007667303177,10556.582677165354,12779.0,5576.0,1365.8387918671847,69.85039370078741,100.0,0.0,42.067639336817535,0.5984251968503937,0.20078740157480315,7,7,0.0,37,42675.581903297265,42675.581903297265,1.883429042806179,254,267,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,3,70.441,17.801,31.483,21.157,287.0,224.0,308.0,False,1,MEDIUM,1,22,0,2.0,220.08365019011407,309.0,64.0,62.50658245780551,10725.026615969582,12479.0,5516.0,1280.1774930611223,70.79467680608364,100.0,0.0,42.1962152334617,0.6159695817490495,0.19011406844106463,7,7,0.11026615969581749,40,42906.76459099087,42906.76459099087,1.8556378779529814,263,267,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,4,70.467,17.555,31.631,21.281,296.0,228.0,289.0,False,1,MEDIUM,1,22,0,3.0,218.94274809160305,301.0,63.0,62.61996551418414,10724.301526717558,12082.0,5594.0,1181.647344705508,70.7824427480916,100.0,0.0,42.01038581315799,0.6221374045801527,0.17938931297709923,7,7,0.0,42,42774.70664407298,42774.70664407298,1.8852813697972686,262,273,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,5,70.193,17.61,31.332,21.251,294.0,224.0,294.0,False,1,MEDIUM,1,22,0,4.0,218.1771653543307,301.0,64.0,62.652743357593685,10580.570866141732,12668.0,5676.0,1262.5960822944264,71.81102362204724,100.0,0.0,41.50187023268308,0.6181102362204725,0.18503937007874016,7,7,0.0,42,42538.480217018645,42538.480217018645,1.8367029266027488,254,265,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,6,71.033,17.616,31.962,21.455,298.0,219.0,285.0,False,1,MEDIUM,1,22,0,5.0,215.61596958174906,304.0,63.0,62.319311831098844,10630.186311787073,12245.0,5475.0,1277.806369282597,66.61216730038022,100.0,0.0,43.06059224869663,0.5551330798479087,0.19391634980988592,7,7,0.0,36,42931.28892524277,42931.28892524277,1.8395504756017376,263,265,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,7,70.682,17.624,31.646,21.412,,230.0,294.0,False,1,MEDIUM,1,22,0,6.0,220.15413533834587,301.0,62.0,62.4033291613338,10501.575187969926,12698.0,5345.0,1309.321173767572,69.3796992481203,100.0,0.0,42.06889490712278,0.5827067669172933,0.18045112781954886,7,7,0.0,39,42849.853383252106,42849.853383252106,1.874437935420712,266,281,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,8,70.655,17.696,31.695,21.264,,228.0,290.0,False,1,MEDIUM,1,22,0,7.0,217.53731343283582,301.0,64.0,62.389204088625846,10562.992537313432,12709.0,5502.0,1341.2474005553738,67.89925373134328,100.0,0.0,42.72203981565308,0.5708955223880597,0.19402985074626866,7,7,0.0,38,42495.121149347644,42495.121149347644,1.8301136207185627,268,275,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,9,70.628,17.626,31.611,21.391,299.0,229.0,293.0,False,1,MEDIUM,1,22,0,8.0,217.60852713178295,302.0,62.0,63.73891334636044,10499.837209302326,12519.0,5477.0,1335.2759508701029,68.24031007751938,100.0,0.0,43.18901582898069,0.5891472868217055,0.22093023255813954,7,7,0.0,39,42703.115711514416,42703.115711514416,1.8961849830838258,258,265,True,True
2024,1239,Austrian Grand Prix,9550,Race,63,George RUSSELL,Mercedes,10,71.263,17.717,32.021,21.525,300.0,228.0,291.0,False,1,MEDIUM,1,22,0,9.0,218.58076923076922,302.0,58.0,63.737360854047395,10576.307692307691,12549.0,4957.0,1262.8413862650787,68.47307692307692,100.0,0.0,42.33660043846684,0.573076923076923,0.20384615384615384,7,7,0.0,43,42749.4704868167,42749.4704868167,1.8438948170713259,260,275,True,True
