season,meeting_key,meeting_name,meeting_date_start,meeting_day,meeting_month,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,circuit_speed_class,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,1,96.234,33.937,32.313,29.984,324.0,316.0,276.0,False,2023-09-03 13:23:37.301000+00:00,42.5,29.2,medium,1,MEDIUM,1,10,0,0.0,206.87319884726224,323.0,0.0,81.91470260948415,10285.034582132565,12245.0,5058.0,1381.0123063023527,65.98559077809799,100.0,0.0,42.61580012878321,0.547550432276657,0.1988472622478386,10,10,1.0,50,56971.99323319616,56971.99323319616,1.6197978175915355,347,352,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,2,88.696,28.782,30.575,29.339,310.0,309.0,320.0,False,2023-09-03 13:24:37.316000+00:00,42.5,29.2,medium,1,MEDIUM,1,10,0,1.0,234.971875,329.0,67.0,73.35910702826456,10461.98125,11956.0,6001.0,1169.5244865535897,73.2875,100.0,0.0,40.96238938038161,0.628125,0.165625,6,6,1.0,40,57338.61955615737,57338.61955615737,1.6552499363593527,320,345,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,3,87.916,28.714,30.06,29.142,,326.0,,False,2023-09-03 13:26:37.346000+00:00,43.2,29.3,medium,1,MEDIUM,1,10,0,2.0,236.6132930513595,329.0,68.0,75.04408576422958,10460.018126888217,11998.0,6107.0,1238.7380625405938,73.72507552870091,100.0,0.0,40.494600060473985,0.6374622356495468,0.15709969788519637,6,6,0.1299093655589124,35,57457.755500666855,57457.755500666855,1.6479579065838708,331,339,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,4,87.472,28.432,30.029,29.011,,326.0,325.0,False,2023-09-03 13:27:37.361000+00:00,43.2,29.4,medium,1,MEDIUM,1,10,0,3.0,237.20731707317074,340.0,67.0,73.96633014582329,10520.432926829268,12133.0,6006.0,1250.176619868986,73.63414634146342,100.0,0.0,40.597071922264426,0.6341463414634146,0.14329268292682926,6,6,0.21646341463414634,36,57595.16510634216,57595.16510634216,1.6434872551700432,328,330,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,5,87.694,28.291,30.155,29.248,308.0,327.0,347.0,False,2023-09-03 13:29:37.359000+00:00,43.1,29.5,medium,1,MEDIUM,1,10,0,4.0,237.6996904024768,356.0,70.0,76.62024625467514,10492.925696594428,12315.0,6034.0,1261.604352587062,73.17647058823529,100.0,0.0,40.46276204118371,0.631578947368421,0.16718266253869968,6,6,0.23529411764705882,35,57468.504327275085,57468.504327275085,1.642238900575277,323,329,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,6,87.324,28.241,30.047,29.036,,324.0,331.0,False,2023-09-03 13:30:37.359000+00:00,43.3,29.5,medium,1,MEDIUM,1,10,0,5.0,239.85800604229607,337.0,68.0,72.78653817726723,10415.027190332326,11953.0,6228.0,1238.0243748549565,74.12688821752266,100.0,0.0,40.28031202513816,0.6404833836858006,0.1419939577039275,6,6,0.21450151057401812,30,57187.46225919206,57187.46225919206,1.6633795973060452,331,333,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,7,87.21,28.18,29.932,29.098,307.0,325.0,328.0,False,2023-09-03 13:32:37.373000+00:00,43.6,29.6,medium,1,MEDIUM,1,10,0,6.0,237.54128440366972,338.0,65.0,74.84383727171664,10514.495412844037,11994.0,5855.0,1312.6011290506626,74.33333333333333,100.0,0.0,40.28479147342189,0.6422018348623854,0.14067278287461774,6,6,0.22324159021406728,34,57481.837252679106,57481.837252679106,1.6644467040740045,327,335,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,8,87.24,28.0,30.157,29.083,310.0,322.0,334.0,False,2023-09-03 13:33:37.357000+00:00,43.6,29.7,medium,1,MEDIUM,1,10,0,7.0,239.35777126099705,338.0,67.0,74.24727552899479,10515.695014662757,11979.0,5992.0,1238.5176200820636,75.3782991202346,100.0,0.0,39.71910903977404,0.656891495601173,0.1495601173020528,6,6,0.22287390029325513,35,57516.050232471156,57516.050232471156,1.6554030823391594,341,342,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,9,87.366,28.124,29.976,29.266,309.0,325.0,330.0,False,2023-09-03 13:35:37.355000+00:00,44.1,29.8,medium,1,MEDIUM,1,10,0,8.0,236.25225225225225,338.0,63.0,75.72609110013363,10491.591591591592,11993.0,5729.0,1280.7063489034051,73.51651651651652,100.0,0.0,40.39813717195932,0.6336336336336337,0.14414414414414414,6,6,0.21921921921921922,33,57435.53651024333,57435.53651024333,1.685948416208163,333,341,True,True
2023,1218,Italian Grand Prix,2023-09-01T11:30:00+00:00,1,9,9157,Race,10,Pierre GASLY,Alpine,10,92.034,28.126,30.178,33.73,312.0,325.0,327.0,False,2023-09-03 13:36:37.355000+00:00,43.9,29.8,medium,1,MEDIUM,1,10,0,9.0,222.5287356321839,340.0,67.0,82.71424137346351,10218.382183908046,12114.0,6004.0,1501.2913370322576,70.16666666666667,100.0,0.0,41.7719703818068,0.5977011494252874,0.1810344827586207,7,7,0.19827586206896552,37,57240.33027461557,57240.33027461557,1.6373018150675802,348,347,True,True
