season,meeting_key,meeting_name,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,1,98.844,24.059,39.861,34.924,290.0,310,311,False,1,MEDIUM,1,15,0,0.0,191.90243902439025,324.0,0.0,74.72798889756412,9883.157181571816,11864.0,4734.0,1576.8405401672965,66.27642276422765,100.0,0.0,38.88757351202629,0.45257452574525747,0.23035230352303523,17,17,1.0,50,52381.45334098619,52381.45334098619,1.7037653067654348,369,379,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,2,91.81,18.536,39.26,34.014,282.0,296,302,False,1,MEDIUM,1,15,0,1.0,204.1304347826087,308.0,65.0,67.56088248269076,10371.87536231884,12121.0,7048.0,1156.348537849721,67.73913043478261,100.0,0.0,40.54571661070674,0.4956521739130435,0.18840579710144928,9,9,0.9942028985507246,39,52274.48730263524,52274.48730263524,1.7221573112573045,345,365,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,3,91.033,18.466,38.107,34.46,283.0,314,320,False,1,MEDIUM,1,15,0,2.0,204.92485549132948,330.0,67.0,70.93642937350565,10108.771676300577,12119.0,6152.0,1393.9728260535794,64.20520231213872,100.0,0.0,42.08505118958025,0.4682080924855491,0.2254335260115607,9,9,0.2947976878612717,41,52152.14225302318,52152.14225302318,1.7364035356566876,346,353,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,4,90.988,18.553,38.24,34.195,284.0,316,318,False,1,MEDIUM,1,15,0,3.0,204.76589595375722,330.0,66.0,70.62348341145716,10139.309248554913,11875.0,5913.0,1381.629819915098,66.38728323699422,100.0,0.0,41.129012587639735,0.4884393063583815,0.2023121387283237,7,7,0.30346820809248554,42,52252.13149767819,52252.13149767819,1.7303903014425048,346,346,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,5,90.994,18.443,38.295,34.256,,315,324,False,1,MEDIUM,1,15,0,4.0,205.82456140350877,327.0,63.0,72.72055529779271,10125.58187134503,11847.0,5886.0,1358.2992237753722,66.85380116959064,100.0,0.0,41.40658089834828,0.5029239766081871,0.20175438596491227,9,9,0.2953216374269006,43,52194.56202704337,52194.56202704337,1.7106077999663423,342,359,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,6,90.689,18.427,38.17,34.092,283.0,317,325,False,1,MEDIUM,1,15,0,5.0,203.2128279883382,328.0,62.0,71.79992170417398,10077.798833819243,11835.0,5499.0,1439.9175663961228,66.5131195335277,100.0,0.0,41.03130039536158,0.478134110787172,0.20116618075801748,7,7,0.2886297376093295,40,52356.23530266362,52356.23530266362,1.7193956117523432,343,344,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,7,90.932,18.454,38.344,34.134,281.0,315,325,False,1,MEDIUM,1,15,0,6.0,204.27522935779817,327.0,63.0,72.39703707079008,10046.874617737003,11843.0,5543.0,1484.7230817695356,67.46483180428135,100.0,0.0,40.91467012072709,0.5015290519877675,0.18960244648318042,8,8,0.308868501529052,37,52226.76266756623,52226.76266756623,1.7368712871023138,327,353,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,8,90.997,18.375,38.366,34.256,282.0,315,324,False,1,MEDIUM,1,15,0,7.0,206.7800586510264,327.0,63.0,71.83282368356636,10100.536656891496,11888.0,5702.0,1428.7735371652777,66.44574780058652,100.0,0.0,41.70853504270482,0.5043988269794721,0.19941348973607037,8,8,0.30791788856304986,44,52013.59282570352,52013.59282570352,1.7523900552362288,341,360,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,9,91.073,18.412,38.673,33.988,285.0,300,319,False,1,MEDIUM,1,15,0,8.0,205.95626822157433,327.0,64.0,70.91797799970429,10144.822157434402,11854.0,5714.0,1408.6521545684272,67.77551020408163,100.0,0.0,41.00827315683129,0.5131195335276968,0.20408163265306123,9,9,0.2478134110787172,42,52272.382330008346,52272.382330008346,1.7246658068926428,343,348,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,10,91.254,18.441,38.486,34.327,284.0,317,321,False,1,MEDIUM,1,15,0,9.0,205.19881305637983,327.0,63.0,73.03325691629702,10039.617210682492,11795.0,5682.0,1438.543575652463,65.95845697329376,100.0,0.0,41.729787068427974,0.49851632047477745,0.20474777448071216,9,9,0.3056379821958457,45,51903.214877381426,51903.214877381426,1.7237424025965409,337,341,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,11,91.422,18.567,38.512,34.343,,317,319,False,1,MEDIUM,1,15,0,10.0,205.95294117647057,327.0,64.0,70.56680704166347,10133.217647058824,11922.0,5630.0,1366.1934126854264,67.44705882352942,100.0,0.0,41.18573593236689,0.5,0.20294117647058824,9,9,0.3088235294117647,44,52086.90001292121,52086.90001292121,1.7278865027297836,340,341,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,12,91.527,18.487,38.445,34.595,285.0,318,324,False,1,MEDIUM,1,15,0,11.0,205.51734104046244,328.0,61.0,71.88877077839209,10097.514450867053,11875.0,5566.0,1369.6329899822872,66.26011560693641,100.0,0.0,41.30363353676328,0.4797687861271676,0.2138728323699422,9,9,0.315028901734104,43,52083.293567043525,52083.293567043525,1.7420934793092653,346,351,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,13,91.77,18.587,38.638,34.545,,315,319,False,1,MEDIUM,1,15,0,12.0,203.18713450292398,327.0,63.0,72.21021989906137,10035.818713450293,11877.0,5722.0,1394.605356951604,65.3391812865497,100.0,0.0,41.475443836503686,0.47368421052631576,0.2134502923976608,8,8,0.2982456140350877,41,52112.527290330065,52112.527290330065,1.7293122982070852,342,345,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,14,91.647,18.573,38.671,34.403,,314,314,False,1,MEDIUM,1,15,0,13.0,203.27665706051874,324.0,64.0,71.26238081262878,10019.412103746397,11799.0,5551.0,1390.6000426382448,64.52449567723343,100.0,0.0,41.78139009730574,0.4668587896253602,0.2276657060518732,9,9,0.2910662824207493,46,52152.559145037885,52152.559145037885,1.749119739084028,347,345,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,15,93.667,18.439,38.517,36.711,284.0,316,322,False,1,MEDIUM,1,15,0,14.0,199.33333333333334,326.0,64.0,76.79445871212903,9956.347701149425,11918.0,5674.0,1497.461266292534,65.30747126436782,100.0,0.0,40.776236197484955,0.45689655172413796,0.22126436781609196,10,10,0.3160919540229885,47,52269.45194119964,52269.45194119964,1.7169525893640656,348,354,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,16,110.615,38.873,37.87,33.872,288.0,324,321,True,2,HARD,16,58,0,0.0,172.34,327.0,0.0,90.41075378515545,9295.9525,11856.0,3809.0,1946.723080010033,63.4,100.0,0.0,39.53156966273917,0.375,0.23,15,15,0.25,40,52536.163418031414,52536.163418031414,1.59957646002698,400,421,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,17,90.134,18.215,37.981,33.938,283.0,297,319,False,2,HARD,16,58,0,1.0,208.78299120234604,325.0,62.0,70.73796056955213,10075.521994134897,11735.0,5470.0,1399.8323622770458,67.94428152492668,100.0,0.0,40.855798963443014,0.5073313782991202,0.21114369501466276,10,10,0.3225806451612903,43,52030.05724178096,52030.05724178096,1.7246706471687534,341,343,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,18,90.276,18.231,38.188,33.857,,306,319,False,2,HARD,16,58,0,2.0,206.80357142857142,322.0,67.0,69.9583854983133,10137.27380952381,11778.0,6109.0,1340.1789912544418,67.95535714285714,100.0,0.0,41.354821016430726,0.5119047619047619,0.1875,9,9,0.2857142857142857,42,52135.26594817823,52135.26594817823,1.7474894561228358,336,342,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,19,90.132,18.195,38.295,33.642,285.0,310,303,False,2,HARD,16,58,0,3.0,209.02616279069767,314.0,68.0,68.71407654555493,10146.171511627907,11829.0,5983.0,1353.1909734771514,67.65406976744185,100.0,0.0,41.693086618875874,0.5,0.2005813953488372,9,9,0.09593023255813954,39,52144.30163543736,52144.30163543736,1.7326116747121838,344,342,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,20,90.128,18.208,38.585,33.335,,294,304,False,2,HARD,16,58,0,4.0,208.4213649851632,309.0,65.0,67.43059221220987,10226.347181008901,11839.0,5996.0,1277.7944815314054,68.76261127596439,100.0,0.0,41.26627037819198,0.5222551928783383,0.20474777448071216,8,8,0.008902077151335312,44,52122.60627491426,52122.60627491426,1.7311234463475718,337,340,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,21,90.246,18.242,38.498,33.506,284.0,296,302,False,2,HARD,16,58,0,5.0,208.4154302670623,309.0,66.0,66.48401427108816,10177.255192878338,11828.0,5979.0,1307.5334425637413,68.76854599406528,100.0,0.0,40.94100650463872,0.5252225519287834,0.20474777448071216,9,9,0.0,41,52160.08078357317,52160.08078357317,1.751898125669542,337,351,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,22,90.756,18.301,38.574,33.881,285.0,299,303,False,2,HARD,16,58,0,6.0,204.91940298507464,307.0,66.0,68.86809420655963,10094.176119402986,11781.0,5955.0,1371.4060010544742,67.74925373134329,100.0,0.0,40.47976967788263,0.4835820895522388,0.18208955223880596,7,7,0.0,41,52133.70080611562,52133.70080611562,1.7414703832322662,335,335,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,23,91.726,18.425,38.577,34.724,286.0,316,313,False,2,HARD,16,58,0,7.0,204.77391304347827,331.0,63.0,73.74921007127715,9931.084057971015,11800.0,5646.0,1461.1494884907793,64.10724637681159,100.0,0.0,40.922373735252755,0.4405797101449275,0.21739130434782608,10,10,0.2956521739130435,42,52262.31552944163,52262.31552944163,1.731435320027014,345,358,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,24,90.791,18.651,38.301,33.839,,298,321,False,2,HARD,16,58,0,8.0,206.6776119402985,325.0,65.0,71.08013518682817,10037.513432835822,11834.0,5621.0,1398.6735098417325,65.3910447761194,100.0,0.0,41.455524563306284,0.4716417910447761,0.21194029850746268,12,12,0.19402985074626866,39,51996.932992381546,51996.932992381546,1.733160378991744,335,353,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,25,90.338,18.332,38.564,33.442,283.0,299,303,False,2,HARD,16,58,0,9.0,209.8,308.0,65.0,67.14860949845318,10144.169696969697,11755.0,6086.0,1302.066951796456,69.5969696969697,100.0,0.0,40.3961968270528,0.5181818181818182,0.19090909090909092,7,7,0.0,37,52264.501609469546,52264.501609469546,1.7581274899739079,330,344,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,26,90.993,18.262,38.575,34.156,286.0,292,303,False,2,HARD,16,58,0,10.0,206.55747126436782,309.0,64.0,68.60275979198475,10120.577586206897,11764.0,5870.0,1405.62595875802,68.3735632183908,100.0,0.0,40.26262337859349,0.49137931034482757,0.1867816091954023,9,9,0.0,38,51875.927624292875,51875.927624292875,1.7260886658422232,348,357,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,27,90.578,18.371,38.51,33.697,285.0,298,304,False,2,HARD,16,58,0,11.0,204.66472303206996,310.0,64.0,69.4118238629319,10022.160349854228,11832.0,5693.0,1433.9031852082326,67.0204081632653,100.0,0.0,40.708265116717946,0.48104956268221577,0.1836734693877551,7,7,0.0,41,52131.31901098203,52131.31901098203,1.742041591336387,343,352,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,28,90.322,18.236,38.512,33.574,287.0,298,305,False,2,HARD,16,58,0,12.0,209.1402985074627,311.0,64.0,68.17660136032906,10189.41791044776,11820.0,5774.0,1365.9712716243694,68.08955223880596,100.0,0.0,41.01820904103248,0.5044776119402985,0.2,8,8,0.0,36,52277.069628123034,52277.069628123034,1.7139773579006632,335,356,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,29,90.504,18.279,38.643,33.582,,299,303,False,2,HARD,16,58,0,13.0,207.3235294117647,308.0,64.0,69.44872022207774,10084.541176470588,11804.0,5799.0,1408.9528740329374,68.03529411764706,100.0,0.0,40.863746929874026,0.4970588235294118,0.21764705882352942,8,8,0.0,40,52062.9359544617,52062.9359544617,1.698575179044841,340,341,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,30,90.514,18.269,38.682,33.563,,297,305,False,2,HARD,16,58,0,14.0,209.14583333333334,309.0,63.0,69.52440163795067,10128.89880952381,11811.0,5762.0,1388.5485876398702,67.99107142857143,100.0,0.0,41.22993643429311,0.5238095238095238,0.20238095238095238,9,9,0.0,41,52142.3624226549,52142.3624226549,1.7395810504576026,336,342,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,31,90.319,18.261,38.377,33.681,,312,304,False,2,HARD,16,58,0,15.0,207.86455331412103,317.0,62.0,70.9272597714797,10117.406340057636,11891.0,5672.0,1408.2266217385113,67.5014409221902,100.0,0.0,40.71029117707234,0.49279538904899134,0.1988472622478386,9,9,0.09221902017291066,37,52082.53974982268,52082.53974982268,1.7472135138315992,347,342,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,32,90.243,18.238,38.587,33.418,286.0,293,300,False,2,HARD,16,58,0,16.0,207.60623229461757,306.0,66.0,67.68394862645367,10174.011331444759,11842.0,5993.0,1374.5452608381295,68.45892351274787,100.0,0.0,41.140939763454746,0.5070821529745042,0.18696883852691218,8,8,0.0,37,52235.999015422676,52235.999015422676,1.7278778248643412,353,351,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,33,90.244,18.241,38.62,33.383,285.0,293,300,False,2,HARD,16,58,0,17.0,207.45402298850576,306.0,65.0,67.81686513293903,10189.8591954023,11840.0,5884.0,1366.0304603777372,68.45689655172414,100.0,0.0,40.81315546896767,0.5,0.1896551724137931,7,7,0.0,40,52121.621357521006,52121.621357521006,1.723090850127775,348,351,True,True
2023,1226,Abu Dhabi Grand Prix,9197,Race,31,Esteban OCON,Alpine,35,90.474,18.213,38.759,33.502,287.0,295,302,False,2,HARD,16,58,0,19.0,206.91228070175438,308.0,64.0,68.09061232366226,10156.6432748538,11956.0,5947.0,1354.2173248063434,68.42397660818713,100.0,0.0,40.85495393926628,0.49415204678362573,0.19298245614035087,9,9,0.0,38,52225.87311894464,52225.87311894464,1.738859182814099,342,342,True,True
