season,meeting_key,meeting_name,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,1,123.187,40.89,51.767,30.53,314.0,189,237.0,False,1,SOFT,1,23,0,0.0,202.88716814159292,325.0,0.0,77.55159923114422,10198.902654867257,11924.0,4179.0,1325.7544835680987,63.64601769911504,100.0,0.0,41.97163398490127,0.48008849557522126,0.2013274336283186,13,13,1.0,59,69216.4007800323,69216.4007800323,1.7707194839809413,452,474,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,2,116.015,32.027,53.017,30.971,330.0,186,316.0,False,1,SOFT,1,23,0,1.0,214.48008849557522,332.0,61.0,79.5895279943527,10094.949115044248,11854.0,5462.0,1379.2707110329632,64.95132743362832,100.0,0.0,42.37268617442314,0.5154867256637168,0.19911504424778761,10,10,0.9977876106194691,45,69346.93054220299,69346.93054220299,1.8042421479542914,452,450,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,3,114.814,32.021,52.011,30.782,342.0,182,311.0,False,1,SOFT,1,23,0,2.0,216.1229314420804,342.0,65.0,80.706859565992,10181.082742316785,12458.0,5693.0,1418.6571432451265,67.90070921985816,100.0,0.0,41.37277430143785,0.5319148936170213,0.16784869976359337,9,9,0.16548463356973994,44,69458.50579318654,69458.50579318654,1.7728935138968829,423,444,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,4,114.371,32.047,51.644,30.68,335.0,182,313.0,False,1,SOFT,1,23,0,3.0,219.61751152073734,335.0,65.0,78.72521930217873,10163.753456221199,11777.0,5801.0,1383.811988291642,68.22119815668202,100.0,0.0,41.551721281092114,0.5483870967741935,0.1543778801843318,8,8,0.2119815668202765,42,69263.79952424113,69263.79952424113,1.7811962369963197,434,432,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,5,115.415,31.866,52.175,31.374,355.0,183,319.0,False,1,SOFT,1,23,0,4.0,215.6892523364486,354.0,61.0,82.12441653387732,10114.19859813084,12262.0,5371.0,1550.6817313859442,66.78504672897196,100.0,0.0,41.34593698746768,0.5257009345794392,0.17523364485981308,9,9,0.19626168224299065,45,69422.07891235118,69422.07891235118,1.7971595012169401,428,439,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,6,115.56,31.982,52.165,31.413,338.0,178,314.0,False,1,SOFT,1,23,0,5.0,216.23317307692307,339.0,59.0,80.40684382664422,10133.89423076923,12064.0,5291.0,1494.4174621948414,66.70432692307692,100.0,0.0,41.4063073573344,0.5168269230769231,0.16346153846153846,8,8,0.1875,39,69321.77159968918,69321.77159968918,1.76732804501364,416,440,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,7,115.449,31.997,52.106,31.346,330.0,181,313.0,False,1,SOFT,1,23,0,6.0,219.58637469586375,333.0,59.0,77.6905973339617,10109.364963503649,11943.0,5155.0,1376.5404193735242,67.46958637469587,100.0,0.0,40.52875491863406,0.5060827250608273,0.15085158150851583,8,8,0.21654501216545013,41,69361.41829796588,69361.41829796588,1.7733278877219756,411,438,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,8,113.984,32.093,51.101,30.79,328.0,178,312.0,False,1,SOFT,1,23,0,7.0,218.9379474940334,332.0,58.0,78.75445036687849,10189.27446300716,11913.0,5071.0,1421.976470335553,69.12649164677805,100.0,0.0,40.74029441918777,0.5560859188544153,0.15035799522673032,8,8,0.2052505966587112,42,69216.60768731032,69216.60768731032,1.7698770343541077,419,445,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,9,113.43,32.392,50.381,30.657,310.0,185,308.0,False,1,SOFT,1,23,0,8.0,223.68085106382978,319.0,65.0,75.88977191965995,10270.229314420803,11958.0,5822.0,1299.5352822370628,71.86052009456264,100.0,0.0,39.22911938557029,0.5721040189125296,0.12056737588652482,7,7,0.03546099290780142,40,69472.71122619588,69472.71122619588,1.766678603467072,423,435,True,True
2023,1216,Belgian Grand Prix,9141,Race,10,Pierre GASLY,Alpine,10,113.587,32.514,50.453,30.62,312.0,186,,False,1,SOFT,1,23,0,9.0,221.1933962264151,319.0,65.0,74.90361954232331,10195.735849056604,11768.0,5604.0,1290.6198456108818,68.25471698113208,100.0,0.0,41.3834032270879,0.5471698113207547,0.21226415094339623,7,7,0.0,38,69308.77329177968,69308.77329177968,1.7699544289302473,424,442,True,True
