meeting_key,driver_name,actual_mean_lap,pred_mean_lap,actual_rank,pred_rank
1141,Alexander ALBON,100.47138596491227,99.87370713450291,11.0,12.0
1141,Carlos SAINZ,99.73963157894737,99.00667859649121,5.0,5.0
1141,Charles LECLERC,99.65376923076923,98.93660743589741,4.0,4.0
1141,Esteban OCON,102.92617073170732,101.98542878048778,19.0,19.0
1141,Fernando ALONSO,99.57426315789473,98.9104043859649,3.0,3.0
1141,George RUSSELL,99.87652631578946,99.12358970760233,8.0,6.0
1141,Kevin MAGNUSSEN,100.96132142857142,99.9644144047619,14.0,13.0
1141,Lance STROLL,99.85233333333332,99.14205584795319,7.0,7.0
1141,Lando NORRIS,102.61347272727272,101.93745890909089,18.0,18.0
1141,Lewis HAMILTON,99.79061403508771,99.17928011695908,6.0,8.0
1141,Logan SARGEANT,100.68108928571428,99.9716076785714,13.0,14.0
1141,Max VERSTAPPEN,98.8960701754386,98.38003497076019,1.0,1.0
1141,Nico HULKENBERG,101.08948214285714,100.26474428571429,16.0,16.0
1141,Nyck DE VRIES,101.06505357142858,100.21911613095236,15.0,15.0
1141,Oscar PIASTRI,103.29646153846154,102.16282307692308,20.0,20.0
1141,Pierre GASLY,100.19070175438597,99.33960643274852,10.0,9.0
1141,Sergio PEREZ,99.10640350877192,98.57255935672511,2.0,2.0
1141,Valtteri BOTTAS,100.17121052631579,99.37170157894735,9.0,10.0
1141,Yuki TSUNODA,100.49043859649123,99.71155567251459,12.0,11.0
1141,ZHOU Guanyu,101.36876785714286,100.5314057142857,17.0,17.0
1210,Alexander ALBON,85.86438961038961,86.84857766233765,15.0,15.0
1210,Carlos SAINZ,84.56044871794872,85.43719880341881,8.0,8.0
1210,Charles LECLERC,84.6072987012987,85.45989991341992,9.0,9.0
1210,Esteban OCON,84.22219230769231,85.14269260683761,4.0,4.0
1210,Fernando ALONSO,83.98737662337663,84.7799542857143,3.0,3.0
1210,George RUSSELL,84.40547435897436,85.40652957264959,6.0,7.0
1210,Kevin MAGNUSSEN,87.95801428571428,88.89248657142858,20.0,20.0
1210,Lance STROLL,80.78924528301887,81.96178855345914,1.0,1.0
1210,Lando NORRIS,84.88848051948051,85.79672437229436,10.0,10.0
1210,Lewis HAMILTON,84.24844871794872,85.16769290598292,5.0,5.0
1210,Logan SARGEANT,86.91067105263159,87.76729776315788,19.0,19.0
1210,Max VERSTAPPEN,83.74789743589744,84.73586645299147,2.0,2.0
1210,Nico HULKENBERG,86.5911052631579,87.53804280701756,17.0,17.0
1210,Nyck DE VRIES,85.57980519480519,86.47583900432903,13.0,13.0
1210,Oscar PIASTRI,85.01837662337662,86.06977679653681,11.0,11.0
1210,Pierre GASLY,84.54747435897436,85.37380700854702,7.0,6.0
1210,Sergio PEREZ,86.59663157894737,87.6146714912281,18.0,18.0
1210,Valtteri BOTTAS,85.211,86.09314666666668,12.0,12.0
1210,Yuki TSUNODA,86.05084210526316,86.96102092105264,16.0,16.0
1210,ZHOU Guanyu,85.76825974025974,86.77957606060608,14.0,14.0
1214,Alexander ALBON,98.75296153846155,99.72859596153847,10.0,13.0
1214,Carlos SAINZ,98.7831923076923,99.48627602564102,12.0,8.0
1214,Charles LECLERC,98.76857692307694,99.6730625,11.0,12.0
1214,Esteban OCON,95.18633333333334,96.59968666666666,2.0,2.0
1214,Fernando ALONSO,98.73998076923077,99.58517076923077,9.0,10.0
1214,George RUSSELL,98.62453846153845,99.34787102564101,7.0,6.0
1214,Kevin MAGNUSSEN,94.71748387096775,95.58534494623657,1.0,1.0
1214,Lance STROLL,98.93635294117647,99.91667934640526,15.0,19.0
1214,Lando NORRIS,98.48190384615386,99.42543288461539,4.0,7.0
1214,Lewis HAMILTON,98.54553846153847,99.34728596153845,5.0,5.0
1214,Logan SARGEANT,98.86409615384615,99.88340019230769,13.0,18.0
1214,Max VERSTAPPEN,98.40873076923077,99.2381883974359,3.0,3.0
1214,Nico HULKENBERG,99.0280588235294,99.76018875816995,18.0,14.0
1214,Nyck DE VRIES,99.0465,99.82514147435899,19.0,16.0
1214,Oscar PIASTRI,98.55834615384614,99.29018846153846,6.0,4.0
1214,Pierre GASLY,101.21558695652175,101.87840166666665,20.0,20.0
