season,meeting_key,meeting_name,meeting_date_start,meeting_day,meeting_month,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,circuit_speed_class,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,1,214.061,113.748,61.046,39.267,253.0,172,248.0,False,2025-07-27 14:20:05.096000+00:00,26.1,17.5,medium,1,INTERMEDIATE,1,1,0,0.0,112.68664169787765,273.0,0.0,96.46239780916626,7494.715355805243,12195.0,3318.0,2933.409606409866,36.48938826466917,100.0,0.0,40.680082514156894,0.19600499375780275,0.17852684144818975,17,17,1.0,39,68433.08872889885,68433.08872889885,1.5340222347763381,801,802,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,2,171.594,49.033,70.908,51.653,275.0,160,258.0,False,2025-07-27 14:23:05.119000+00:00,25.1,17.6,medium,2,MEDIUM,2,11,0,0.0,146.97431781701445,278.0,27.0,72.70253813658034,8840.560192616373,12067.0,3345.0,2185.85806252163,44.70786516853933,99.0,0.0,39.05634139685466,0.2102728731942215,0.33868378812199035,29,29,1.0,69,69440.91878226076,69440.91878226076,1.6558669002467357,623,653,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,3,172.45,46.616,75.447,50.387,213.0,160,264.0,False,2025-07-27 14:26:05.112000+00:00,24.9,17.6,medium,2,MEDIUM,2,11,0,1.0,144.37165354330708,279.0,59.0,58.55146857311902,8816.2031496063,12119.0,5036.0,1706.8911874104251,41.16377952755906,99.0,0.0,35.13530577210654,0.06929133858267716,0.33700787401574805,30,30,1.0,67,69451.11586433585,69451.11586433585,1.7366469220781349,635,655,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,4,165.258,52.163,68.825,44.27,214.0,143,252.0,False,2025-07-27 14:29:05.130000+00:00,24.4,17.4,medium,2,MEDIUM,2,11,0,2.0,150.9872,293.0,45.0,69.2662099162355,8808.7712,11866.0,4748.0,1837.798471772833,45.3376,100.0,0.0,37.61322674592011,0.1904,0.3424,36,36,1.0,61,69315.2219716213,69315.2219716213,1.7038595504173675,625,637,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,5,123.577,33.191,58.196,32.19,304.0,173,285.0,False,2025-07-27 14:32:05.156000+00:00,24.9,17.4,medium,2,MEDIUM,2,11,0,3.0,203.5311111111111,318.0,56.0,79.50139152443174,9819.54,12135.0,4684.0,1675.3899073747978,64.69111111111111,100.0,1.0,37.54410930105915,0.44666666666666666,0.2911111111111111,15,15,1.0,49,69308.61156333963,69308.61156333963,1.798989712088182,450,466,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,6,122.152,33.502,56.678,31.972,313.0,171,293.0,False,2025-07-27 14:34:05.134000+00:00,25.6,17.4,medium,2,MEDIUM,2,11,0,4.0,203.56359649122808,322.0,52.0,80.79544448929745,9965.333333333334,12318.0,4357.0,1652.814019407065,64.8092105263158,100.0,0.0,39.470019749499166,0.46271929824561403,0.2412280701754386,12,12,1.0,47,69084.44135088054,69084.44135088054,1.7986507155596991,456,475,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,7,122.51,33.377,57.518,31.615,308.0,169,297.0,False,2025-07-27 14:36:05.159000+00:00,25.8,17.4,medium,2,MEDIUM,2,11,0,5.0,202.39912280701753,319.0,56.0,81.83519167034291,9849.743421052632,12292.0,4563.0,1738.383596466985,64.62061403508773,99.0,0.0,39.411664668009934,0.4758771929824561,0.24342105263157895,15,15,1.0,42,69352.19989363023,69352.19989363023,1.8031736661441862,456,463,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,8,121.599,33.197,56.553,31.849,317.0,172,295.0,False,2025-07-27 14:38:05.175000+00:00,25.5,17.5,medium,2,MEDIUM,2,11,0,6.0,204.6478260869565,326.0,55.0,82.39323721490959,9869.582608695651,12478.0,4420.0,1814.882904272141,65.10434782608695,100.0,0.0,39.775374490745115,0.48695652173913045,0.22391304347826088,13,13,1.0,47,69366.21802278858,69366.21802278858,1.7973183954121992,460,454,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,9,124.389,33.446,58.843,32.1,312.0,169,301.0,False,2025-07-27 14:40:05.185000+00:00,25.5,17.5,medium,2,MEDIUM,2,11,0,7.0,199.80921052631578,322.0,56.0,80.89372497127086,9781.212719298246,12384.0,4724.0,1646.5576427743338,64.18201754385964,99.0,0.0,39.246351169758995,0.4517543859649123,0.2324561403508772,16,16,1.0,50,69456.615886174,69456.615886174,1.8076271238598667,456,476,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,10,123.457,33.847,57.247,32.363,304.0,169,297.0,False,2025-07-27 14:42:05.185000+00:00,25.9,17.5,medium,2,MEDIUM,2,11,0,8.0,200.76973684210526,314.0,54.0,79.6600620615503,9675.399122807017,11999.0,4648.0,1681.829496333107,64.00657894736842,100.0,0.0,39.75084077956545,0.4517543859649123,0.2324561403508772,13,13,1.0,43,69423.79082136255,69423.79082136255,1.7727085857225395,456,468,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,11,130.597,34.016,59.124,37.457,309.0,167,299.0,False,2025-07-27 14:44:05.191000+00:00,25.9,17.5,medium,2,MEDIUM,2,11,0,9.0,190.3595041322314,316.0,55.0,84.40872920910648,9473.904958677685,12084.0,4539.0,1779.8779183388638,60.400826446280995,99.0,0.0,40.04558971366677,0.384297520661157,0.24793388429752067,17,17,1.0,43,69915.76887578572,69915.76887578572,1.8098087394188727,484,503,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,12,132.214,49.518,52.978,29.718,302.0,201,267.0,True,2025-07-27 14:46:05.216000+00:00,25.4,17.6,medium,3,MEDIUM,12,44,0,0.0,187.1792828685259,313.0,0.0,90.24846032326968,9560.266932270917,12027.0,3500.0,1974.3946584694208,65.00996015936255,100.0,0.0,35.99698278079875,0.41832669322709165,0.27689243027888444,15,15,0.6673306772908366,43,68881.19930202627,68881.19930202627,1.7649810440802123,502,491,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,13,111.05,32.496,49.245,29.309,307.0,205,303.0,False,2025-07-27 14:49:05.220000+00:00,25.1,17.5,medium,3,MEDIUM,12,44,0,1.0,226.38024691358024,323.0,69.0,74.13486945476357,10335.97037037037,11959.0,5123.0,1378.3158713072246,72.84938271604938,100.0,0.0,36.54693624644447,0.5802469135802469,0.2345679012345679,13,13,0.0,47,69510.20928446905,69510.20928446905,1.753451817371513,405,428,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,14,109.564,31.986,48.479,29.099,311.0,204,307.0,False,2025-07-27 14:50:05.230000+00:00,25.8,17.5,medium,3,MEDIUM,12,44,0,2.0,227.3684210526316,319.0,69.0,75.22252893401958,10198.557416267942,12125.0,5152.0,1595.6666416869055,72.48325358851675,100.0,0.0,37.38569125942788,0.5956937799043063,0.21291866028708134,11,11,0.0430622009569378,37,69476.15374557598,69476.15374557598,1.7533075011390347,418,421,True,True
2025,1265,Belgian Grand Prix,2025-07-25T10:30:00+00:00,25,7,9939,Race,44,Lewis HAMILTON,Ferrari,15,108.587,31.327,48.163,29.097,330.0,205,310.0,False,2025-07-27 14:52:05.252000+00:00,26.0,17.4,medium,3,MEDIUM,12,44,0,3.0,231.60095011876484,333.0,73.0,74.18636991579078,10429.781472684086,12229.0,5442.0,1391.9108125039934,74.7957244655582,100.0,0.0,36.69662596229683,0.6460807600950119,0.19002375296912113,11,11,0.22327790973871733,42,69258.40261085865,69258.40261085865,1.7744370468619106,421,416,True,True
